Service,Description,Capacity,backups,Working Data
AWS,Amazon Web Services offers a range of cloud-based storage and compute services to meet a variety of needs. Consult with Research IT Services at research-it@ucsd.edu for advice on the service that meets your needs and to discuss potential costs.,"No overall limit (costs incurred).
No practical limit to number of files.",TRUE,TRUE
AWS Glacier,"Amazon Glacier is a secure, durable, and extremely low-cost cloud storage service for data archiving and long-term backup. Amazon Glacier provides three options for access to archives, from a few minutes to several hours.","5 TB file size limit.
No overall limit (costs incurred).
No practical limit to number of files.",TRUE,FALSE
CTRI Storage,"The Clinical Translational Research Institute (CTRI) helps researchers obtain the education, resources and collaborations necessary to translate discoveries into practice. The Institute is a partnership among the University of California, San Diego, and other local institutions dedicated to improving human health. To achieve this goal requires collaboration between many groups: academia, industry, non-profit agencies, government, and most importantly the community. Any researcher or individual interested in translational research from any group is invited to become a member of the CTRI.",Contact CTRI,TRUE,TRUE
Chronopolis,Digital preservation is a general term for a set of services with one goal: keeping your data safe so that it can be accessed in the future. Chronopolis is a non-commercial digital preservation network comprised of nonprofit higher education institutions and designed to ensure that your data is available beyond the life of a grant or research project.,"No file size or number limit.

Overall data limits determined on a case-by-case ba",FALSE,FALSE
Code42 CrashPlan,"Protect and manage your institution’s most valuable resource—the data created and stored on devices.

Code42 provides real-time recovery so no matter what happens, you always have access to your data. The beauty of our SaaS platform is that it also offers excellent data visibility for your security team, plus it saves IT a ton of time.",Contact vendor,TRUE,FALSE
Consult CTRI,"The Clinical Translational Research Institute (CTRI) helps researchers obtain the education, resources and collaborations necessary to translate discoveries into practice. The Institute is a partnership among the University of California, San Diego, and other local institutions dedicated to improving human health. To achieve this goal requires collaboration between many groups: academia, industry, non-profit agencies, government, and most importantly the community. Any researcher or individual interested in translational research from any group is invited to become a member of the CTRI.",Varies,FALSE,TRUE
Consult local department/division IT,,,TRUE,TRUE
Consult Research IT Services,,,TRUE,TRUE
Druva InSync,"Ensuring that your business data is protected is a huge challenge – especially with your data spread across endpoints and cloud applications like Office 365, Google G Suite, Box, and Salesforce. Druva inSync provides a simple approach to protecting, preserving and discovering your data, while reducing costs, risk and complexity.",Contact vendor,TRUE,FALSE
GitHub.com,"GitHub Inc. is a web-based hosting service for version control using Git. It is mostly used for computer code. It offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.","Limited, code",FALSE,TRUE
