Service,Description,Example Use,Cost,Capacity,Access and Collaboration,Data Allowed,Durability,backups,Working Data,Sharing/publication,Long-term preservation/archiving,P1,P2,P3,P3 - Export-controlled data,P4,Other
Amazon Web Services,Amazon Web Services offers a range of cloud-based storage and compute services to meet a variety of needs. Consult with Research IT Services at research-it@ucsd.edu for advice on the service that meets your needs and to discuss potential costs.,"Making a large dataset available for public download.
Private filesharing with versioning and replication, for a widely distributed team.

Storing data files to be shared among multiple servers doing analysis.

Storing data files to be accessed by a single Amazon EC2 server.",Cost dependent on services used. Consult with Research IT Services at research-it@ucsd.edu for advice on the service that meets your needs and to discuss potential costs.,"No overall limit (costs incurred).
No practical limit to number of files.",Varies by service selected.,"Allowed: Public data. Sensitive / moderate risk data.

Allowed with special configuration: FERPA-protected data. Confidential or restricted / high risk data.

Allowed only under auspices of appropriate University offices AND with special configuration: HIPAA-regulated data. Export-Controlled information.",Versioning can be configured to protect against human error (costs incurred).,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
AWS Glacier,"Amazon Glacier is a secure, durable, and extremely low-cost cloud storage service for data archiving and long-term backup. Amazon Glacier provides three options for access to archives, from a few minutes to several hours.","Storing an archival copy of a static dataset and when the actively used, primary copy is stored elsewhere.",< $500/TB/Year,"5 TB file size limit.
No overall limit (costs incurred).
No practical limit to number of files",Extensive control using AWS IAM (Identity and Access Management) and UC San Diego Active Directory users and groups.,"Allowed: Public data. Sensitive / moderate risk data.

Allowed with special configuration: FERPA-protected data. Confidential or restricted / high risk data. Contact Amazon Web Services Glacier for more information.

Not Allowed: HIPAA-regulated data. Export-Controlled information.","Very high barrier to accidental deletion of objects, and Glacier performs regular, systematic data integrity checks.",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CTRI Storage,"The Clinical Translational Research Institute (CTRI) helps researchers obtain the education, resources and collaborations necessary to translate discoveries into practice. The Institute is a partnership among the University of California, San Diego, and other local institutions dedicated to improving human health. To achieve this goal requires collaboration between many groups: academia, industry, non-profit agencies, government, and most importantly the community. Any researcher or individual interested in translational research from any group is invited to become a member of the CTRI.","Contact CTRI for more information at ACTRI IT Support:
ctri-support@ucsd.edu",$55/TB a Month,Contact CTRI,"Contact CTRI for more information at ACTRI IT Support:
ctri-support@ucsd.edu",May include human health data,"Contact CTRI for more information at ACTRI IT Support:
ctri-support@ucsd.edu",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Chronopolis,Digital preservation is a general term for a set of services with one goal: keeping your data safe so that it can be accessed in the future. Chronopolis is a non-commercial digital preservation network comprised of nonprofit higher education institutions and designed to ensure that your data is available beyond the life of a grant or research project.,Storing archival datasets used in publications or other completed research.,,Free for UC San Diego researchers,"No file size or number limit.

Overall data limits determined on a case-by-case basis.","Access to deposit tools can be configured for UC San Diego Active Directory users and groups.

Direct access to deposited data is restricted. Requests for data retrieval can usually be processed within three business days.  ","Allowed: Public data. Sensitive / moderate risk data.

Not allowed: FERPA-protected data. Confidential or restricted / high risk data. HIPAA-regulated data. Export-Controlled information. Please contact chronopolis@ucsd.edu for more information.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Code42 CrashPlan,"Protect and manage your institution’s most valuable resource—the data created and stored on devices.

Code42 provides real-time recovery so no matter what happens, you always have access to your data. The beauty of our SaaS platform is that it also offers excellent data visibility for your security team, plus it saves IT a ton of time.",Install the software on a laptop or desktop that has valuable local data on it for a reliable backup and sync.,"As low as $10 a month, contact vendor. ",Contact vendor,Contact vendor,"Allowed: Public data. Sensitive / moderate risk data.

Not allowed: FERPA-protected data. Confidential or restricted / high risk data. HIPAA-regulated data. Export-Controlled information. ",Contact vendor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Consult CTRI,"The Clinical Translational Research Institute (CTRI) helps researchers obtain the education, resources and collaborations necessary to translate discoveries into practice. The Institute is a partnership among the University of California, San Diego, and other local institutions dedicated to improving human health. To achieve this goal requires collaboration between many groups: academia, industry, non-profit agencies, government, and most importantly the community. Any researcher or individual interested in translational research from any group is invited to become a member of the CTRI.",undefined,Varies,Varies,"Contact CTRI for more information at ACTRI IT Support:
ctri-support@ucsd.edu",Includes human health data,"Contact CTRI for more information at ACTRI IT Support:
ctri-support@ucsd.edu",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Consult Research IT Services,Reach out to Research IT Services at research-it@ucsd.edu for a personalized consultation.,"Don't know where to go, are these options overwhelming? Contact Research IT and they will help point you in the right direction.","Free, no recharge.","Varies, consult research IT services",Varies,Varies,Varies,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Consult local department/division IT,"Ask your department or division IT staff for available options they may provide. Many, but not all, departments/divisions offer solutions tailored to their discipline areas.",Varies,Varies,Varies,Campus only,P1 or P2 data,Varies,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Druva InSync,"Ensuring that your business data is protected is a huge challenge – especially with your data spread across endpoints and cloud applications like Office 365, Google G Suite, Box, and Salesforce. Druva inSync provides a simple approach to protecting, preserving and discovering your data, while reducing costs, risk and complexity.",Protecting local or cloud data.,"Varies, contact vendor.",Contact vendor,Contact vendor,"Allowed: Public data. Sensitive / moderate risk data.

Not allowed: FERPA-protected data. Confidential or restricted / high risk data. HIPAA-regulated data. Export-Controlled information. ",Contact vendor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GitHub.com,"GitHub Inc. is a web-based hosting service for version control using Git. It is mostly used for computer code. It offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.",GitHub is best used for open-source projects,Free for Open Source development. The cost can vary to include more features <a href>https://github.com/pricing</a>,"Limited, code",Varies depending on which license you choose. GitHub's pricing page has more information <a href>https://github.com/pricing</a>,,"Allowed: Public data. Sensitive / moderate risk data.

Not allowed: FERPA-protected data. Confidential or restricted / high risk data. HIPAA-regulated data. Export-Controlled information.",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
